danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0.76,0.812,-5.323,0.0635,0.651,0.000252,0.197,0.595,135.014,288200
0.837,0.933,-3.737,0.0609,0.0131,8.88e-06,0.359,0.904,109.998,93156
0.848,0.721,-4.963,0.155,0.264,0.0,0.183,0.791,90.006,218267
0.667,0.894,-5.115,0.0453,0.0431,0.0056,0.0412,0.811,144.953,219507
0.672,0.425,-8.844,0.0287,0.787,4.74e-06,0.278,0.601,99.853,198926
0.82,0.937,-7.114,0.0782,0.471,0.000748,0.0593,0.962,111.984,307907
0.733,0.839,-4.879,0.0421,0.0652,1.56e-06,0.303,0.719,125.026,224313
0.597,0.939,-5.071,0.0802,0.00117,0.459,0.258,0.807,144.746,58073
0.692,0.698,-10.225,0.192,0.311,9.52e-05,0.366,0.628,110.044,335040
0.449,0.92,-4.544,0.0726,5.03e-05,0.00136,0.179,0.577,87.503,221600
0.705,0.855,-7.682,0.0276,0.167,1.14e-05,0.35,0.969,138.925,254933
0.588,0.66,-8.879,0.0297,0.208,0.00579,0.116,0.264,131.766,240307
0.288,0.861,-5.997,0.0753,0.000382,0.0,0.38,0.492,155.899,181650
0.639,0.431,-9.094,0.0254,0.429,0.0,0.107,0.538,104.144,205357
0.752,0.5,-9.637,0.028,0.412,2.41e-06,0.134,0.526,108.955,199653
0.786,0.898,-5.81,0.0368,0.0619,1.17e-06,0.0691,0.478,111.991,241907
0.407,0.415,-10.584,0.0321,0.289,0.0,0.119,0.219,133.449,249993
0.489,0.267,-16.538,0.0478,0.866,0.00154,0.0891,0.424,159.498,1313200
0.682,0.457,-10.635,0.0332,0.597,0.000259,0.175,0.488,132.787,173533
0.664,0.872,-4.167,0.0567,0.0279,0.000334,0.107,0.796,105.021,201333
0.632,0.564,-5.749,0.0273,0.794,0.0,0.121,0.435,131.957,227533
0.332,0.446,-7.587,0.0308,0.407,0.0,0.107,0.148,139.968,345827
0.608,0.492,-7.834,0.0345,0.601,0.0,0.121,0.305,72.033,227383
0.376,0.0539,-21.307,0.0516,0.939,0.885,0.0996,0.17,129.79,60970
0.877,0.688,-9.702,0.118,0.0937,0.000611,0.273,0.781,97.992,224131
0.591,0.496,-6.697,0.0371,0.222,0.0,0.0629,0.22,137.941,243040
0.485,0.134,-11.82,0.0323,0.926,0.00147,0.104,0.144,120.037,259373
0.595,0.446,-6.806,0.0258,0.815,3.41e-05,0.0985,0.364,104.99,412973
0.484,0.45,-9.117,0.0284,0.777,0.0,0.122,0.396,107.849,282013
0.676,0.915,-6.322,0.0608,0.0876,0.000894,0.334,0.912,95.008,222747
0.716,0.791,-5.56,0.0414,0.005,0.0,0.468,0.932,104.999,248867
0.721,0.865,-2.754,0.0448,0.0545,0.0,0.0751,0.648,133.981,250067
0.491,0.555,-7.638,0.0265,0.389,7.03e-05,0.108,0.594,139.973,230693
0.757,0.755,-5.211,0.0524,0.00225,1.21e-05,0.0552,0.849,105.895,225567
0.689,0.863,-5.484,0.0755,0.0694,0.0,0.0995,0.589,102.969,193067
0.647,0.581,-6.09,0.066,0.294,0.0,0.333,0.4,131.965,256560
0.608,0.821,-6.345,0.0273,0.00414,1.07e-05,0.0997,0.26,133.975,300500
0.789,0.923,-6.058,0.0854,0.137,0.0,0.0565,0.711,111.764,272667
0.689,0.702,-4.808,0.0362,0.403,0.0,0.146,0.446,121.969,264840
0.594,0.409,-6.13,0.0362,0.806,0.0,0.12,0.321,142.077,221467
0.604,0.55,-7.039,0.025,0.654,0.0,0.0923,0.243,105.967,234107
0.384,0.283,-13.778,0.0334,0.525,0.00664,0.0791,0.24,80.184,283173
0.5,0.966,-5.385,0.0544,0.00214,0.506,0.115,0.439,132.033,305600
0.669,0.471,-6.515,0.033,0.382,0.0,0.0963,0.47,67.988,235093
0.731,0.67,-9.01,0.0328,0.808,0.00484,0.145,0.92,115.099,434573
0.446,0.501,-8.492,0.0369,0.822,0.0011,0.109,0.335,107.429,241360
0.709,0.824,-8.272,0.037,0.594,0.0632,0.242,0.938,91.009,296160
